Model Name,Model Size,Average Accuracy,Average Precision,Average Recall,Average f1,Average Confusion Matrix
YOLOv8,Nano,0.8525510204081634,0.8544623167758137,0.8525510204081634,0.8523447280418297,"[[        162          34]
 [       23.8       172.2]]"
YOLOv8,Small,0.8423469387755101,0.8476005628084616,0.8423469387755101,0.8416951834037985,"[[      153.4        42.6]
 [       19.2       176.8]]"
YOLOv8,Medium,0.8372448979591838,0.8432773604680179,0.8372448979591838,0.8364542828276689,"[[        152          44]
 [       19.8       176.2]]"
YOLOv8,Large,0.8561224489795919,0.8584740635879904,0.8561224489795919,0.8558845314266419,"[[      160.4        35.6]
 [       20.8       175.2]]"
YOLOv8,XLarge,0.8545918367346939,0.8620216073368011,0.8545918367346939,0.8537468202145577,"[[      154.6        41.4]
 [       15.6       180.4]]"
YOLOv11,Nano,0.8403061224489796,0.846026249268385,0.8403061224489796,0.8394668723342406,"[[      153.4        42.6]
 [         20         176]]"
YOLOv11,Small,0.8346938775510205,0.8448463186997305,0.8346938775510205,0.8331657937516038,"[[      149.6        46.4]
 [       18.4       177.6]]"
YOLOv11,Medium,0.8454081632653061,0.8496207068517864,0.8454081632653061,0.844924799916553,"[[      155.2        40.8]
 [       19.8       176.2]]"
YOLOv11,Large,0.8443877551020409,0.8512001708041262,0.8443877551020409,0.8435338684587149,"[[      153.6        42.4]
 [       18.6       177.4]]"
YOLOv11,XLarge,0.8479591836734693,0.8518841010750899,0.8479591836734693,0.8475161095961028,"[[      156.2        39.8]
 [       19.8       176.2]]"
